,gpref_coop,ipref_coop,gpref_def,ipref_def,rt_coop,rt_def
0,0.625,0.125,0.75,0.25,3.1137125,1.8343125
1,0.25,0.25,0.625,0.125,2.488125,2.814375
2,0.5,0,0.875,0.375,3.1668625,7.390075
3,0.125,0.375,0.75,0.25,2.298125,4.44965
4,0.25,0.25,0.375,0.125,2.5394875,4.700475
5,0,0.5,0,0.5,1.5869625,2.4864625
6,0.5,0,0.5,0,2.1072,1.9975375
7,0.125,0.375,0.875,0.375,1.4737375,0.9766125
8,0.375,0.125,0.25,0.25,1.496125,1.2949625
9,0.5,0,0.571428571,0.071428571,3.3553375,4.221
10,0,0.5,1,0.5,1.5769875,2.4230875
11,0.125,0.375,1,0.5,2.1723375,2.8297125
12,0.375,0.125,0.5,0,1.454,3.721
13,0.125,0.375,0.75,0.25,0.837625,3.777
14,0.125,0.375,0.375,0.125,1.8742875,4.4598875
15,0.125,0.375,0.25,0.25,0.8184125,1.370775
16,0,0.5,1,0.5,1.82675,2.240875
17,0.375,0.125,0.75,0.25,1.56495,3.8373125
18,0.5,0,0.625,0.125,1.721,2.2275
19,0,0.5,1,0.5,4.1763375,9.596342857
20,0.375,0.125,0.875,0.375,1.2322,1.3058125
21,0.625,0.125,0.375,0.125,1.272175,2.22655
22,0.25,0.25,0.5,0,2.85655,3.851966667
23,0,0.5,1,0.5,1.6242575,1.91886375
24,0,0.5,0.125,0.375,2.3337625,2.832025
25,0.25,0.25,0.875,0.375,2.753125,1.956
26,0.375,0.125,0.75,0.25,2.0488125,3.043375
27,0.375,0.125,0.625,0.125,2.002625,2.54525
28,0,0.5,1,0.5,2.0606375,0.6683375
29,0,0.5,0.75,0.25,2.441675,0.8085875
30,0,0.5,1,0.5,1.5536625,2.1718625
31,0.75,0.25,0.25,0.25,2.6294,2.1758125
32,0.5,0,0.375,0.125,0.9732375,1.4791375
33,0.5,0,0.5,0,2.362375,1.998375
34,0,0.5,1,0.5,0.60115,0.8093875
35,0,0.5,1,0.5,1.001425,1.4579125
36,0,0.5,1,0.5,1.16705,1.553325
37,0.125,0.375,0,0.5,0.5597875,1.152425
38,0.5,0,0.5,0,2.9344625,3.858675
39,0.571428571,0.071428571,0.5,0,4.080457143,5.546
40,0.25,0.25,0.5,0,5.88275,6.016875
41,0.375,0.125,1,0.5,2.9148625,3.0506
42,0,0.5,1,0.5,0.57415,1.2650875
43,0.333333333,0.166666667,0,0.5,1.504320833,1.447521875
44,0.375,0.125,0.875,0.375,1.5800625,2.1949375
45,0,0.5,0.25,0.25,2.92885,2.566375
46,0.875,0.375,0.375,0.125,1.273025,1.5186875
47,0,0.5,1,0.5,2.6898,0.962225
48,0,0.5,0.625,0.125,0.7698625,1.2898875
49,0.75,0.25,0.375,0.125,2.96605,4.207525
50,0.5,0,0.5,0,1.6104125,2.704125
51,0,0.5,1,0.5,2.0113,1.912
52,0.25,0.25,0.625,0.125,1.9644,2.1096125
53,0,0.5,0,0.5,1.7851125,2.32265
54,0,0.5,0.75,0.25,0.81105,1.2643375
55,0.375,0.125,0.625,0.125,1.537925,2.8395625
56,0,0.5,0.75,0.25,0.7398,1.864875
57,0,0.5,0.875,0.375,1.10905,1.6035875
58,0,0.5,0,0.5,2.4605,1.95825
59,0,0.5,1,0.5,1.025925,1.9790625
60,0,0.5,0,0.5,0.348475,1.82575
61,0,0.5,1,0.5,3.2704,2.9681375
62,0.125,0.375,0.625,0.125,2.9073125,3.1827
63,0.25,0.25,0.625,0.125,1.407925,4.6035375
64,0,0.5,1,0.5,1.6732125,2.918175
65,0.5,0,0,0.5,2.1057375,3.4440875
66,0,0.5,0.375,0.125,2.477125,1.8527875
67,0.5,0,0.625,0.125,1.9009625,5.0294
68,0.875,0.375,0,0.5,4.2068375,3.2173
69,0.625,0.125,0.25,0.25,3.0121875,2.0824
70,0.625,0.125,0.5,0,1.1885,1.5694125
71,0.125,0.375,1,0.5,1.776225,2.592575
